Standard_Work,Book,Chapter,Verse_Count
Old Testament,Ezekiel,42,20
Old Testament,Ezekiel,43,27
Old Testament,Ezekiel,44,31
Old Testament,Ezekiel,45,25
Old Testament,Ezekiel,46,24
Old Testament,Ezekiel,47,23
Old Testament,Ezekiel,48,35
Old Testament,Daniel,1,21
Old Testament,Daniel,2,49
Old Testament,Daniel,3,30
Old Testament,Daniel,4,37
Old Testament,Daniel,5,31
Old Testament,Daniel,6,28
Old Testament,Daniel,7,28
Old Testament,Daniel,8,27
Old Testament,Daniel,9,27
Old Testament,Daniel,10,21
Old Testament,Daniel,11,45
Old Testament,Daniel,12,13
Old Testament,Hosea,1,11
Old Testament,Hosea,2,23
Old Testament,Hosea,3,5
Old Testament,Hosea,4,19
Old Testament,Hosea,5,15
Old Testament,Hosea,6,11
Old Testament,Hosea,7,16
Old Testament,Hosea,8,14
Old Testament,Hosea,9,17
Old Testament,Hosea,10,15
Old Testament,Hosea,11,12
Old Testament,Hosea,12,14
Old Testament,Hosea,13,16
Old Testament,Hosea,14,9
Old Testament,Joel,1,20
Old Testament,Joel,2,32
Old Testament,Joel,3,21
Old Testament,Amos,1,15
Old Testament,Amos,2,16
Old Testament,Amos,3,15
Old Testament,Amos,4,13
Old Testament,Amos,5,27
Old Testament,Amos,6,14
Old Testament,Amos,7,17
Old Testament,Amos,8,14
Old Testament,Amos,9,15
Old Testament,Obadiah,1,21
Old Testament,Jonah,1,17
Old Testament,Jonah,2,10
Old Testament,Jonah,3,10
Old Testament,Jonah,4,11
Old Testament,Micah,1,16
Old Testament,Micah,2,13
Old Testament,Micah,3,12
Old Testament,Micah,4,13
Old Testament,Micah,5,15
Old Testament,Micah,6,16
Old Testament,Micah,7,20
Old Testament,Nahum,1,15
Old Testament,Nahum,2,13
Old Testament,Nahum,3,19
Old Testament,Habakkuk,1,17
Old Testament,Habakkuk,2,20
Old Testament,Habakkuk,3,19
Old Testament,Zephaniah,1,18
Old Testament,Zephaniah,2,15
Old Testament,Zephaniah,3,20
Old Testament,Haggai,1,15
Old Testament,Haggai,2,23
Old Testament,Zechariah,1,21
Old Testament,Zechariah,2,13
Old Testament,Zechariah,3,10
Old Testament,Zechariah,4,14
Old Testament,Zechariah,5,11
Old Testament,Zechariah,6,15
Old Testament,Zechariah,7,14
Old Testament,Zechariah,8,23
Old Testament,Zechariah,9,17
Old Testament,Zechariah,10,12
Old Testament,Zechariah,11,17
Old Testament,Zechariah,12,14
Old Testament,Zechariah,13,9
Old Testament,Zechariah,14,21
Old Testament,Malachi,1,14
Old Testament,Malachi,2,17
Old Testament,Malachi,3,18
Old Testament,Malachi,4,6
New Testament,Matthew,1,25
New Testament,Matthew,2,23
New Testament,Matthew,3,17
New Testament,Matthew,4,25
New Testament,Matthew,5,48
New Testament,Matthew,6,34
New Testament,Matthew,7,29
New Testament,Matthew,8,34
New Testament,Matthew,9,38
New Testament,Matthew,10,42
New Testament,Matthew,11,30
New Testament,Matthew,12,50
New Testament,Matthew,13,58
New Testament,Matthew,14,36
New Testament,Matthew,15,39
New Testament,Matthew,16,28
New Testament,Matthew,17,27
New Testament,Matthew,18,35
New Testament,Matthew,19,30
New Testament,Matthew,20,34
New Testament,Matthew,21,46
New Testament,Matthew,22,46
New Testament,Matthew,23,39
New Testament,Matthew,24,51
New Testament,Matthew,25,46
New Testament,Matthew,26,75
New Testament,Matthew,27,66
New Testament,Matthew,28,20
New Testament,Mark,1,45
New Testament,Mark,2,28
New Testament,Mark,3,35
New Testament,Mark,4,41
New Testament,Mark,5,43
New Testament,Mark,6,56
New Testament,Mark,7,37
New Testament,Mark,8,38
New Testament,Mark,9,50
New Testament,Mark,10,52
New Testament,Mark,11,33
New Testament,Mark,12,44
New Testament,Mark,13,37
New Testament,Mark,14,72
New Testament,Mark,15,47
New Testament,Mark,16,20
New Testament,Luke,1,80
New Testament,Luke,2,52
New Testament,Luke,3,38
New Testament,Luke,4,44
New Testament,Luke,5,39
New Testament,Luke,6,49
New Testament,Luke,7,50
New Testament,Luke,8,56
New Testament,Luke,9,62
New Testament,Luke,10,42
New Testament,Luke,11,54
New Testament,Luke,12,59
New Testament,Luke,13,35
New Testament,Luke,14,35
New Testament,Luke,15,32
New Testament,Luke,16,31
New Testament,Luke,17,37
New Testament,Luke,18,43
New Testament,Luke,19,48
New Testament,Luke,20,47
New Testament,Luke,21,38
New Testament,Luke,22,71
New Testament,Luke,23,56
New Testament,Luke,24,53
New Testament,John,1,51
New Testament,John,2,25
New Testament,John,3,36
New Testament,John,4,54
New Testament,John,5,47
New Testament,John,6,71
New Testament,John,7,53
New Testament,John,8,59
New Testament,John,9,41
New Testament,John,10,42
New Testament,John,11,57
New Testament,John,12,50
New Testament,John,13,38
New Testament,John,14,31
New Testament,John,15,27
New Testament,John,16,33
New Testament,John,17,26
New Testament,John,18,40
New Testament,John,19,42
New Testament,John,20,31
New Testament,John,21,25
New Testament,Acts,1,26
New Testament,Acts,2,47
New Testament,Acts,3,26
New Testament,Acts,4,37
New Testament,Acts,5,42
New Testament,Acts,6,15
New Testament,Acts,7,60
New Testament,Acts,8,40
New Testament,Acts,9,43
New Testament,Acts,10,48
New Testament,Acts,11,30
New Testament,Acts,12,25
New Testament,Acts,13,52
New Testament,Acts,14,28
New Testament,Acts,15,41
New Testament,Acts,16,40
New Testament,Acts,17,34
New Testament,Acts,18,28
New Testament,Acts,19,41
New Testament,Acts,20,38
New Testament,Acts,21,40
New Testament,Acts,22,30
New Testament,Acts,23,35
New Testament,Acts,24,27
New Testament,Acts,25,27
New Testament,Acts,26,32
New Testament,Acts,27,44
New Testament,Acts,28,31
New Testament,Romans,1,32
New Testament,Romans,2,29
New Testament,Romans,3,31
New Testament,Romans,4,25
New Testament,Romans,5,21
New Testament,Romans,6,23
New Testament,Romans,7,25
New Testament,Romans,8,39
New Testament,Romans,9,33
New Testament,Romans,10,21
New Testament,Romans,11,36
New Testament,Romans,12,21
New Testament,Romans,13,14
New Testament,Romans,14,23
New Testament,Romans,15,33
New Testament,Romans,16,27
New Testament,1 Corinthians,1,31
New Testament,1 Corinthians,2,16
New Testament,1 Corinthians,3,23
New Testament,1 Corinthians,4,21
New Testament,1 Corinthians,5,13
New Testament,1 Corinthians,6,20
New Testament,1 Corinthians,7,40
New Testament,1 Corinthians,8,13
New Testament,1 Corinthians,9,27
New Testament,1 Corinthians,10,33
New Testament,1 Corinthians,11,34
New Testament,1 Corinthians,12,31
New Testament,1 Corinthians,13,13
New Testament,1 Corinthians,14,40
New Testament,1 Corinthians,15,58
New Testament,1 Corinthians,16,24
New Testament,2 Corinthians,1,24
New Testament,2 Corinthians,2,17
New Testament,2 Corinthians,3,18
New Testament,2 Corinthians,4,18
New Testament,2 Corinthians,5,21
New Testament,2 Corinthians,6,18
New Testament,2 Corinthians,7,16
New Testament,2 Corinthians,8,24
New Testament,2 Corinthians,9,15
New Testament,2 Corinthians,10,18
New Testament,2 Corinthians,11,33
New Testament,2 Corinthians,12,21
New Testament,2 Corinthians,13,14
New Testament,Galatians,1,24
New Testament,Galatians,2,21
New Testament,Galatians,3,29
New Testament,Galatians,4,31
New Testament,Galatians,5,26
New Testament,Galatians,6,18
New Testament,Ephesians,1,23
New Testament,Ephesians,2,22
New Testament,Ephesians,3,21
New Testament,Ephesians,4,32
New Testament,Ephesians,5,33
New Testament,Ephesians,6,24
New Testament,Philippians,1,30
New Testament,Philippians,2,30
New Testament,Philippians,3,21
New Testament,Philippians,4,23
New Testament,Colossians,1,29
New Testament,Colossians,2,23
New Testament,Colossians,3,25
New Testament,Colossians,4,18
New Testament,1 Thessalonians,1,10
New Testament,1 Thessalonians,2,20
New Testament,1 Thessalonians,3,13
New Testament,1 Thessalonians,4,18
New Testament,1 Thessalonians,5,28
New Testament,2 Thessalonians,1,12
New Testament,2 Thessalonians,2,17
New Testament,2 Thessalonians,3,18
New Testament,1 Timothy,1,20
New Testament,1 Timothy,2,15
New Testament,1 Timothy,3,16
New Testament,1 Timothy,4,16
New Testament,1 Timothy,5,25
New Testament,1 Timothy,6,21
New Testament,2 Timothy,1,18
New Testament,2 Timothy,2,26
New Testament,2 Timothy,3,17
New Testament,2 Timothy,4,22
New Testament,Titus,1,16
New Testament,Titus,2,15
New Testament,Titus,3,15
New Testament,Philemon,1,25
New Testament,Hebrews,1,14
New Testament,Hebrews,2,18
New Testament,Hebrews,3,19
New Testament,Hebrews,4,16
New Testament,Hebrews,5,14
New Testament,Hebrews,6,20
New Testament,Hebrews,7,28
New Testament,Hebrews,8,13
New Testament,Hebrews,9,28
New Testament,Hebrews,10,39
New Testament,Hebrews,11,40
New Testament,Hebrews,12,29
New Testament,Hebrews,13,25
New Testament,James,1,27
New Testament,James,2,26
New Testament,James,3,18
New Testament,James,4,17
New Testament,James,5,20
New Testament,1 Peter,1,25
New Testament,1 Peter,2,25
New Testament,1 Peter,3,22
New Testament,1 Peter,4,19
New Testament,1 Peter,5,14
New Testament,2 Peter,1,21
New Testament,2 Peter,2,22
New Testament,2 Peter,3,18
New Testament,1 John,1,10
New Testament,1 John,2,29
New Testament,1 John,3,24
New Testament,1 John,4,21
New Testament,1 John,5,21
New Testament,2 John,1,13
New Testament,3 John,1,14
New Testament,Jude,1,25
New Testament,Revelation,1,20
New Testament,Revelation,2,29
New Testament,Revelation,3,22
New Testament,Revelation,4,11
New Testament,Revelation,5,14
New Testament,Revelation,6,17
New Testament,Revelation,7,17
New Testament,Revelation,8,13
New Testament,Revelation,9,21
New Testament,Revelation,10,11
New Testament,Revelation,11,19
New Testament,Revelation,12,17
New Testament,Revelation,13,18
New Testament,Revelation,14,20
New Testament,Revelation,15,8
New Testament,Revelation,16,21
New Testament,Revelation,17,18
New Testament,Revelation,18,24
New Testament,Revelation,19,21
New Testament,Revelation,20,15
New Testament,Revelation,21,27
New Testament,Revelation,22,21
Book of Mormon,1 Nephi,1,20
Book of Mormon,1 Nephi,2,24
Book of Mormon,1 Nephi,3,31
Book of Mormon,1 Nephi,4,38
Book of Mormon,1 Nephi,5,22
Book of Mormon,1 Nephi,6,6
Book of Mormon,1 Nephi,7,22
Book of Mormon,1 Nephi,8,38
Book of Mormon,1 Nephi,9,6
Book of Mormon,1 Nephi,10,22
Book of Mormon,1 Nephi,11,36
Book of Mormon,1 Nephi,12,23
Book of Mormon,1 Nephi,13,42
Book of Mormon,1 Nephi,14,30
Book of Mormon,1 Nephi,15,36
Book of Mormon,1 Nephi,16,39
Book of Mormon,1 Nephi,17,55
Book of Mormon,1 Nephi,18,25
Book of Mormon,1 Nephi,19,24
Book of Mormon,1 Nephi,20,22
Book of Mormon,1 Nephi,21,26
Book of Mormon,1 Nephi,22,31
Book of Mormon,2 Nephi,1,32
Book of Mormon,2 Nephi,2,30
Book of Mormon,2 Nephi,3,25
Book of Mormon,2 Nephi,4,35
Book of Mormon,2 Nephi,5,34
Book of Mormon,2 Nephi,6,18
Book of Mormon,2 Nephi,7,11
Book of Mormon,2 Nephi,8,25
Book of Mormon,2 Nephi,9,54
Book of Mormon,2 Nephi,10,25
Book of Mormon,2 Nephi,11,8
Book of Mormon,2 Nephi,12,22
Book of Mormon,2 Nephi,13,26
Book of Mormon,2 Nephi,14,6
Book of Mormon,2 Nephi,15,30
Book of Mormon,2 Nephi,16,13
Book of Mormon,2 Nephi,17,25
Book of Mormon,2 Nephi,18,22
Book of Mormon,2 Nephi,19,21
Book of Mormon,2 Nephi,20,34
Book of Mormon,2 Nephi,21,16
Book of Mormon,2 Nephi,22,6
Book of Mormon,2 Nephi,23,22
Book of Mormon,2 Nephi,24,32
Book of Mormon,2 Nephi,25,30
Book of Mormon,2 Nephi,26,33
Book of Mormon,2 Nephi,27,35
Book of Mormon,2 Nephi,28,32
Book of Mormon,2 Nephi,29,14
Book of Mormon,2 Nephi,30,18
Book of Mormon,2 Nephi,31,21
Book of Mormon,2 Nephi,32,9
Book of Mormon,2 Nephi,33,15
Book of Mormon,Jacob,1,19
Book of Mormon,Jacob,2,35
Book of Mormon,Jacob,3,14
Book of Mormon,Jacob,4,18
Book of Mormon,Jacob,5,77
Book of Mormon,Jacob,6,13
Book of Mormon,Jacob,7,27
Book of Mormon,Enos,1,27
Book of Mormon,Jarom,1,15
Book of Mormon,Omni,1,30
Book of Mormon,Words of Mormon,1,18
Book of Mormon,Mosiah,1,18
Book of Mormon,Mosiah,2,41
Book of Mormon,Mosiah,3,27
Book of Mormon,Mosiah,4,30
Book of Mormon,Mosiah,5,15
Book of Mormon,Mosiah,6,7
Book of Mormon,Mosiah,7,33
Book of Mormon,Mosiah,8,21
Book of Mormon,Mosiah,9,19
Book of Mormon,Mosiah,10,22
Book of Mormon,Mosiah,11,29
Book of Mormon,Mosiah,12,37
Book of Mormon,Mosiah,13,35
Book of Mormon,Mosiah,14,12
Book of Mormon,Mosiah,15,31
Book of Mormon,Mosiah,16,15
Book of Mormon,Mosiah,17,20
Book of Mormon,Mosiah,18,35
Book of Mormon,Mosiah,19,29
Book of Mormon,Mosiah,20,26
Book of Mormon,Mosiah,21,36
Book of Mormon,Mosiah,22,16
Book of Mormon,Mosiah,23,39
Book of Mormon,Mosiah,24,25
Book of Mormon,Mosiah,25,24
Book of Mormon,Mosiah,26,39
Book of Mormon,Mosiah,27,37
Book of Mormon,Mosiah,28,20
Book of Mormon,Mosiah,29,47
Book of Mormon,Alma,1,33
Book of Mormon,Alma,2,38
Book of Mormon,Alma,3,27
Book of Mormon,Alma,4,20
Book of Mormon,Alma,5,62
Book of Mormon,Alma,6,8
Book of Mormon,Alma,7,27
Book of Mormon,Alma,8,32
Book of Mormon,Alma,9,34
Book of Mormon,Alma,10,32
Book of Mormon,Alma,11,46
Book of Mormon,Alma,12,37
Book of Mormon,Alma,13,31
Book of Mormon,Alma,14,29
Book of Mormon,Alma,15,19
Book of Mormon,Alma,16,21
Book of Mormon,Alma,17,39
Book of Mormon,Alma,18,43
Book of Mormon,Alma,19,36
Book of Mormon,Alma,20,30
Book of Mormon,Alma,21,23
Book of Mormon,Alma,22,35
Book of Mormon,Alma,23,18
Book of Mormon,Alma,24,30
Book of Mormon,Alma,25,17
Book of Mormon,Alma,26,37
Book of Mormon,Alma,27,30
Book of Mormon,Alma,28,14
Book of Mormon,Alma,29,17
Book of Mormon,Alma,30,60
Book of Mormon,Alma,31,38
Book of Mormon,Alma,32,43
Book of Mormon,Alma,33,23
Book of Mormon,Alma,34,41
Book of Mormon,Alma,35,16
Book of Mormon,Alma,36,30
Book of Mormon,Alma,37,47
Book of Mormon,Alma,38,15
Book of Mormon,Alma,39,19
Book of Mormon,Alma,40,26
Book of Mormon,Alma,41,15
Book of Mormon,Alma,42,31
Book of Mormon,Alma,43,54
Book of Mormon,Alma,44,24
Book of Mormon,Alma,45,24
Book of Mormon,Alma,46,41
Book of Mormon,Alma,47,36
Book of Mormon,Alma,48,25
Book of Mormon,Alma,49,30
Book of Mormon,Alma,50,40
Book of Mormon,Alma,51,37
Book of Mormon,Alma,52,40
Book of Mormon,Alma,53,23
Book of Mormon,Alma,54,24
Book of Mormon,Alma,55,35
Book of Mormon,Alma,56,57
Book of Mormon,Alma,57,36
Book of Mormon,Alma,58,41
Book of Mormon,Alma,59,13
Book of Mormon,Alma,60,36
Book of Mormon,Alma,61,21
Book of Mormon,Alma,62,52
Book of Mormon,Alma,63,17
Book of Mormon,Helaman,1,34
Book of Mormon,Helaman,2,14
Book of Mormon,Helaman,3,37
Book of Mormon,Helaman,4,26
Book of Mormon,Helaman,5,52
Book of Mormon,Helaman,6,41
Book of Mormon,Helaman,7,29
Book of Mormon,Helaman,8,28
Book of Mormon,Helaman,9,41
Book of Mormon,Helaman,10,19
Book of Mormon,Helaman,11,38
Book of Mormon,Helaman,12,26
Book of Mormon,Helaman,13,39
Book of Mormon,Helaman,14,31
Book of Mormon,Helaman,15,17
Book of Mormon,Helaman,16,25
Book of Mormon,3 Nephi,1,30
Book of Mormon,3 Nephi,2,19
Book of Mormon,3 Nephi,3,26
Book of Mormon,3 Nephi,4,33
Book of Mormon,3 Nephi,5,26
Book of Mormon,3 Nephi,6,30
Book of Mormon,3 Nephi,7,26
Book of Mormon,3 Nephi,8,25
Book of Mormon,3 Nephi,9,22
Book of Mormon,3 Nephi,10,19
Book of Mormon,3 Nephi,11,41
Book of Mormon,3 Nephi,12,48
Book of Mormon,3 Nephi,13,34
Book of Mormon,3 Nephi,14,27
Book of Mormon,3 Nephi,15,24
Book of Mormon,3 Nephi,16,20
Book of Mormon,3 Nephi,17,25
Book of Mormon,3 Nephi,18,39
Book of Mormon,3 Nephi,19,36
Book of Mormon,3 Nephi,20,46
Book of Mormon,3 Nephi,21,29
Book of Mormon,3 Nephi,22,17
Book of Mormon,3 Nephi,23,14
Book of Mormon,3 Nephi,24,18
Book of Mormon,3 Nephi,25,6
Book of Mormon,3 Nephi,26,21
Book of Mormon,3 Nephi,27,33
Book of Mormon,3 Nephi,28,40
Book of Mormon,3 Nephi,29,9
Book of Mormon,3 Nephi,30,2
Book of Mormon,4 Nephi,1,49
Book of Mormon,Mormon,1,19
Book of Mormon,Mormon,2,29
Book of Mormon,Mormon,3,22
Book of Mormon,Mormon,4,23
Book of Mormon,Mormon,5,24
Book of Mormon,Mormon,6,22
Book of Mormon,Mormon,7,10
Book of Mormon,Mormon,8,41
Book of Mormon,Mormon,9,37
Book of Mormon,Ether,1,43
Book of Mormon,Ether,2,25
Book of Mormon,Ether,3,28
Book of Mormon,Ether,4,19
Book of Mormon,Ether,5,6
Book of Mormon,Ether,6,30
Book of Mormon,Ether,7,27
Book of Mormon,Ether,8,26
Book of Mormon,Ether,9,35
Book of Mormon,Ether,10,34
Book of Mormon,Ether,11,23
Book of Mormon,Ether,12,41
Book of Mormon,Ether,13,31
Book of Mormon,Ether,14,31
Book of Mormon,Ether,15,34
Book of Mormon,Moroni,1,4
Book of Mormon,Moroni,2,3
Book of Mormon,Moroni,3,4
Book of Mormon,Moroni,4,3
Book of Mormon,Moroni,5,2
Book of Mormon,Moroni,6,9
Book of Mormon,Moroni,7,48
Book of Mormon,Moroni,8,30
Book of Mormon,Moroni,9,26
Book of Mormon,Moroni,10,34
Doctrine and Covenants,Doctrine and Covenants,1,39
Doctrine and Covenants,Doctrine and Covenants,2,3
Doctrine and Covenants,Doctrine and Covenants,3,20
Doctrine and Covenants,Doctrine and Covenants,4,7
Doctrine and Covenants,Doctrine and Covenants,5,35
Doctrine and Covenants,Doctrine and Covenants,6,37
Doctrine and Covenants,Doctrine and Covenants,7,8
Doctrine and Covenants,Doctrine and Covenants,8,12
Doctrine and Covenants,Doctrine and Covenants,9,14
Doctrine and Covenants,Doctrine and Covenants,10,70
Doctrine and Covenants,Doctrine and Covenants,11,30
Doctrine and Covenants,Doctrine and Covenants,12,9
Doctrine and Covenants,Doctrine and Covenants,13,1
Doctrine and Covenants,Doctrine and Covenants,14,11
Doctrine and Covenants,Doctrine and Covenants,15,6
Doctrine and Covenants,Doctrine and Covenants,16,6
Doctrine and Covenants,Doctrine and Covenants,17,9
Doctrine and Covenants,Doctrine and Covenants,18,47
Doctrine and Covenants,Doctrine and Covenants,19,41
Doctrine and Covenants,Doctrine and Covenants,20,84
Doctrine and Covenants,Doctrine and Covenants,21,12
Doctrine and Covenants,Doctrine and Covenants,22,4
Doctrine and Covenants,Doctrine and Covenants,23,7
Doctrine and Covenants,Doctrine and Covenants,24,19
Doctrine and Covenants,Doctrine and Covenants,25,16
Doctrine and Covenants,Doctrine and Covenants,26,2
Doctrine and Covenants,Doctrine and Covenants,27,18
Doctrine and Covenants,Doctrine and Covenants,28,16
Doctrine and Covenants,Doctrine and Covenants,29,50
Doctrine and Covenants,Doctrine and Covenants,30,11
Doctrine and Covenants,Doctrine and Covenants,31,13
Doctrine and Covenants,Doctrine and Covenants,32,5
Doctrine and Covenants,Doctrine and Covenants,33,18
Doctrine and Covenants,Doctrine and Covenants,34,12
Doctrine and Covenants,Doctrine and Covenants,35,27
Doctrine and Covenants,Doctrine and Covenants,36,8
Doctrine and Covenants,Doctrine and Covenants,37,4
Doctrine and Covenants,Doctrine and Covenants,38,42
Doctrine and Covenants,Doctrine and Covenants,39,24
Doctrine and Covenants,Doctrine and Covenants,40,3
Doctrine and Covenants,Doctrine and Covenants,41,12
Doctrine and Covenants,Doctrine and Covenants,42,93
Doctrine and Covenants,Doctrine and Covenants,43,35
Doctrine and Covenants,Doctrine and Covenants,44,6
Doctrine and Covenants,Doctrine and Covenants,45,75
Doctrine and Covenants,Doctrine and Covenants,46,33
Doctrine and Covenants,Doctrine and Covenants,47,4
Doctrine and Covenants,Doctrine and Covenants,48,6
Doctrine and Covenants,Doctrine and Covenants,49,28
Doctrine and Covenants,Doctrine and Covenants,50,46
Doctrine and Covenants,Doctrine and Covenants,51,20
Doctrine and Covenants,Doctrine and Covenants,52,44
Doctrine and Covenants,Doctrine and Covenants,53,7
Doctrine and Covenants,Doctrine and Covenants,54,10
Doctrine and Covenants,Doctrine and Covenants,55,6
Doctrine and Covenants,Doctrine and Covenants,56,20
Doctrine and Covenants,Doctrine and Covenants,57,16
Doctrine and Covenants,Doctrine and Covenants,58,65
Doctrine and Covenants,Doctrine and Covenants,59,24
Doctrine and Covenants,Doctrine and Covenants,60,17
Doctrine and Covenants,Doctrine and Covenants,61,39
Doctrine and Covenants,Doctrine and Covenants,62,9
Doctrine and Covenants,Doctrine and Covenants,63,66
Doctrine and Covenants,Doctrine and Covenants,64,43
Doctrine and Covenants,Doctrine and Covenants,65,6
Doctrine and Covenants,Doctrine and Covenants,66,13
Doctrine and Covenants,Doctrine and Covenants,67,14
Doctrine and Covenants,Doctrine and Covenants,68,35
Doctrine and Covenants,Doctrine and Covenants,69,8
Doctrine and Covenants,Doctrine and Covenants,70,18
Doctrine and Covenants,Doctrine and Covenants,71,11
Doctrine and Covenants,Doctrine and Covenants,72,26
Doctrine and Covenants,Doctrine and Covenants,73,6
Doctrine and Covenants,Doctrine and Covenants,74,7
Doctrine and Covenants,Doctrine and Covenants,75,36
Doctrine and Covenants,Doctrine and Covenants,76,119
Doctrine and Covenants,Doctrine and Covenants,77,15
Doctrine and Covenants,Doctrine and Covenants,78,22
Doctrine and Covenants,Doctrine and Covenants,79,4
Doctrine and Covenants,Doctrine and Covenants,80,5
Doctrine and Covenants,Doctrine and Covenants,81,7
Doctrine and Covenants,Doctrine and Covenants,82,24
Doctrine and Covenants,Doctrine and Covenants,83,6
Doctrine and Covenants,Doctrine and Covenants,84,120
Doctrine and Covenants,Doctrine and Covenants,85,12
Doctrine and Covenants,Doctrine and Covenants,86,11
Doctrine and Covenants,Doctrine and Covenants,87,8
Doctrine and Covenants,Doctrine and Covenants,88,141
Doctrine and Covenants,Doctrine and Covenants,89,21
Doctrine and Covenants,Doctrine and Covenants,90,37
Doctrine and Covenants,Doctrine and Covenants,91,6
Doctrine and Covenants,Doctrine and Covenants,92,2
Doctrine and Covenants,Doctrine and Covenants,93,53
Doctrine and Covenants,Doctrine and Covenants,94,17
Doctrine and Covenants,Doctrine and Covenants,95,17
Doctrine and Covenants,Doctrine and Covenants,96,9
Doctrine and Covenants,Doctrine and Covenants,97,28
Doctrine and Covenants,Doctrine and Covenants,98,48
Doctrine and Covenants,Doctrine and Covenants,99,8
Doctrine and Covenants,Doctrine and Covenants,100,17
Doctrine and Covenants,Doctrine and Covenants,101,101
Doctrine and Covenants,Doctrine and Covenants,102,34
Doctrine and Covenants,Doctrine and Covenants,103,40
Doctrine and Covenants,Doctrine and Covenants,104,86
Doctrine and Covenants,Doctrine and Covenants,105,41
Doctrine and Covenants,Doctrine and Covenants,106,8
Doctrine and Covenants,Doctrine and Covenants,107,100
Doctrine and Covenants,Doctrine and Covenants,108,8
Doctrine and Covenants,Doctrine and Covenants,109,80
Doctrine and Covenants,Doctrine and Covenants,110,16
Doctrine and Covenants,Doctrine and Covenants,111,11
Doctrine and Covenants,Doctrine and Covenants,112,34
Doctrine and Covenants,Doctrine and Covenants,113,10
Doctrine and Covenants,Doctrine and Covenants,114,2
Doctrine and Covenants,Doctrine and Covenants,115,19
Doctrine and Covenants,Doctrine and Covenants,116,1
Doctrine and Covenants,Doctrine and Covenants,117,16
Doctrine and Covenants,Doctrine and Covenants,118,6
Doctrine and Covenants,Doctrine and Covenants,119,7
Doctrine and Covenants,Doctrine and Covenants,120,1
Doctrine and Covenants,Doctrine and Covenants,121,46
Doctrine and Covenants,Doctrine and Covenants,122,9
Doctrine and Covenants,Doctrine and Covenants,123,17
Doctrine and Covenants,Doctrine and Covenants,124,145
Doctrine and Covenants,Doctrine and Covenants,125,4
Doctrine and Covenants,Doctrine and Covenants,126,3
Doctrine and Covenants,Doctrine and Covenants,127,12
Doctrine and Covenants,Doctrine and Covenants,128,25
Doctrine and Covenants,Doctrine and Covenants,129,9
Doctrine and Covenants,Doctrine and Covenants,130,23
Doctrine and Covenants,Doctrine and Covenants,131,8
Doctrine and Covenants,Doctrine and Covenants,132,66
Doctrine and Covenants,Doctrine and Covenants,133,74
Doctrine and Covenants,Doctrine and Covenants,134,12
Doctrine and Covenants,Doctrine and Covenants,135,7
Doctrine and Covenants,Doctrine and Covenants,136,42
Doctrine and Covenants,Doctrine and Covenants,137,10
Doctrine and Covenants,Doctrine and Covenants,138,60
Pearl of Great Price,Moses,1,42
Pearl of Great Price,Moses,2,31
Pearl of Great Price,Moses,3,25
Pearl of Great Price,Moses,4,32
Pearl of Great Price,Moses,5,59
Pearl of Great Price,Moses,6,68
Pearl of Great Price,Moses,7,69
Pearl of Great Price,Moses,8,30
Pearl of Great Price,Abraham,1,31
Pearl of Great Price,Abraham,2,25
Pearl of Great Price,Abraham,3,28
Pearl of Great Price,Abraham,4,31
Pearl of Great Price,Abraham,5,21
Pearl of Great Price,Joseph Smith—Matthew,1,55
Pearl of Great Price,Joseph Smith—History,1,75
Pearl of Great Price,Articles of Faith,1,13
